train_points,gpu_memory,time,train_mse_max,train_mse_tot,train_mse_avg,test_mse_noisy_max,test_mse_noisy_tot,test_mse_noisy_avg,train_mape_max,train_mape_tot,train_mape_avg,test_mape_noisy_max,test_mape_noisy_tot,test_mape_noisy_avg,test_mape_exact_max,test_mape_exact_tot,test_mape_exact_avg,test_mape_exact_uncorrected_max,test_mape_exact_uncorrected_tot,test_mape_exact_uncorrected_avg
11000,1.6186930338541667,1.130692481994629,0.0006006581825204194,26817626898432.0,2.4842560378601775e-05,0.000626354303676635,30300159606784.0,2.6059900847030804e-05,0.08008158206939697,0.08009447902441025,0.07994238287210464,0.0799417719244957,0.08022354543209076,0.08006402850151062,0.010085195302963257,0.010820692405104637,0.010320423170924187,0.010648233816027641,0.011255007237195969,0.010887476615607738
12000,1.6199951171875,1.203970193862915,0.000615718134213239,27515661844480.0,2.540817149565555e-05,0.0005902837729081511,28585748332544.0,2.5099070626311004e-05,0.08003109693527222,0.08002102375030518,0.07989076524972916,0.0796474739909172,0.07994130253791809,0.079786017537117,0.009661580435931683,0.010225623846054077,0.009898265823721886,0.010152772068977356,0.010696199722588062,0.010423346422612667
13000,1.6193440755208333,1.2991185188293457,0.0006042402237653732,26929279270912.0,2.5249295504181646e-05,0.0005809633294120431,28051039584256.0,2.512180981284473e-05,0.08009045571088791,0.08008695393800735,0.07996602356433868,0.07933881133794785,0.07964564859867096,0.07950020581483841,0.009212217293679714,0.010013003833591938,0.009594406001269817,0.00985651183873415,0.01053506601601839,0.010079871863126755
14000,1.6199951171875,1.436258316040039,0.0005972549552097917,26700987498496.0,2.5166191335301846e-05,0.0006013818201608956,29153306869760.0,2.602449785626959e-05,0.08025337755680084,0.0802370235323906,0.08014757186174393,0.07999460399150848,0.08032376319169998,0.08012852072715759,0.008958394639194012,0.00983212236315012,0.009263958781957626,0.00966129545122385,0.010434804484248161,0.009911512956023216
15000,1.6199951171875,1.4993221759796143,0.0006007766933180392,26513827168256.0,2.5265535441576503e-05,0.0006227768608368933,30296628002816.0,2.688552558538504e-05,0.080154649913311,0.0801493301987648,0.08005640655755997,0.08024083822965622,0.08040543645620346,0.08035532385110855,0.009056711569428444,0.00962108839303255,0.009309741668403149,0.009755252860486507,0.01033195573836565,0.009907492436468601
16000,1.6199951171875,1.6100854873657227,0.0005914264474995434,26057730162688.0,2.4986500648083165e-05,0.0006124426727183163,29278219534336.0,2.652472903719172e-05,0.08028864860534668,0.08026883006095886,0.08017978817224503,0.08068309724330902,0.08090606331825256,0.0808083787560463,0.008707008324563503,0.009681815281510353,0.009079270996153355,0.009579846635460854,0.01026997622102499,0.009791644290089607
17000,1.6206461588541667,1.6975510120391846,0.0005920121911913157,25841241161728.0,2.5085657398449257e-05,0.0006168680265545845,29427591282688.0,2.679017052287236e-05,0.08031521737575531,0.08029931783676147,0.08022190630435944,0.0806763544678688,0.08090038597583771,0.08075535297393799,0.008479620330035686,0.009107912890613079,0.00902639515697956,0.00919534545391798,0.009722961112856865,0.009638526476919651
18000,1.6206461588541667,1.8082001209259033,0.0006214709719642997,27706903232512.0,2.5680972612462938e-05,0.0006173791480250657,28541756375040.0,2.67663890554104e-05,0.0803932249546051,0.08037430047988892,0.08030126988887787,0.08072715997695923,0.0809241384267807,0.0808803141117096,0.008020184002816677,0.00877038948237896,0.00867738388478756,0.008848607540130615,0.009364571422338486,0.00933778379112482
19000,1.6212972005208333,1.8886325359344482,0.0006114707794040442,27088654434304.0,2.538493754400406e-05,0.0006435967516154051,30478321057792.0,2.7491732907947153e-05,0.08041147887706757,0.0803832858800888,0.0803169459104538,0.08091984689235687,0.08108176290988922,0.08101184666156769,0.007791530340909958,0.008396076038479805,0.008237487636506557,0.0086073512211442,0.00898016057908535,0.008846876211464405
20000,1.6212972005208333,2.073765277862549,0.0006088138907216489,26998634184704.0,2.534275881771464e-05,0.0006314962520264089,29807895117824.0,2.716563903959468e-05,0.08040963113307953,0.08038648217916489,0.0803178921341896,0.08091717958450317,0.08105871826410294,0.08098074048757553,0.00749282818287611,0.008280226960778236,0.007956547662615776,0.008318307809531689,0.008938835933804512,0.008676332421600819
